Site Timezone,5.5,Elevation,405,Is Offshore,0,WRF Region,1,,,,
Longitude,76.921875,,,,,,,,,,
Latitude,20.42926025,,,,,,,,,,
Year,Month,Day,Hour,Minute,temperature at 100m (C),wind direction at 100m (deg),wind speed at 100m (m/s),air pressure at 100m (Pa),wind speed at 80m (m/s),temperature at 80m (C),wind direction at 80m (deg)
2014,1,4,7,30,19.31,172.09,4.65,95940,4.06,18.42,180.63
2014,1,4,8,30,17.41,307.31,1.55,96040,2.04,17.11,319.81
2014,1,4,9,30,19.81,330.67,0.93,96080,0.95,20.03,330.6
2014,1,4,10,30,22.3,350,0.66,96090,0.69,22.53,349.18
2014,1,4,11,30,24.27,115.62,1.78,95980,1.75,24.51,114.34
2014,1,4,12,30,26.03,103.3,1.44,96000,1.43,26.26,101.25
2014,1,4,13,30,26.89,159.32,2.62,95960,2.59,27.12,158.88
2014,1,4,14,30,27.15,165.22,3.29,95860,3.25,27.38,164.94
2014,1,4,15,30,27.19,195.81,3.94,95730,3.9,27.4,195.71
2014,1,4,16,30,27.04,201.8,3.51,95710,3.46,27.24,201.56
2014,1,4,17,30,26.81,188.3,4.13,95690,4.11,26.97,187.52
2014,1,4,18,30,26.57,178.41,4.42,95680,4.47,26.71,177.81
2014,1,4,19,30,26.29,170.96,6.33,95710,6.5,26.28,169.85
2014,1,4,20,30,25.27,149.39,9.52,95740,9.57,25.23,149.22
2014,1,4,21,30,25.14,145.61,10.57,95740,10.63,25.12,145.47
2014,1,4,22,30,23.42,145.47,9.39,95740,8.33,22.83,147.94
2014,1,4,23,30,21.01,275.08,3.76,95790,4.21,21.15,276.78
2014,1,5,0,30,20.74,226.47,4.2,95780,4.68,20.83,230.89
2014,1,5,1,30,21.87,233.39,6.87,95810,6.83,22.03,232.88
2014,1,5,2,30,21.83,245.73,4.98,95770,4.95,21.84,245.26
2014,1,5,3,30,21.08,264.71,5.02,95750,4.91,21.04,261.25
2014,1,5,4,30,20.45,264.74,6.58,95750,6.35,20.37,259.61
2014,1,5,5,30,19.15,276.77,6.11,95770,5.84,19.15,270.79
2014,1,5,6,30,18.34,290,6.07,95760,5.39,18.2,283.21
2014,1,5,7,30,16.89,307.74,5.02,95790,4.14,16.75,302.57
2014,1,5,8,30,17.37,314.89,2.64,95850,2.49,17.58,314.07
2014,1,5,9,30,19.31,326.55,2.94,95870,2.89,19.54,326.08
2014,1,5,10,30,21.06,334.23,2.86,95850,2.84,21.3,334.22
2014,1,5,11,30,23.11,261.7,2.23,95800,2.21,23.35,262.16
2014,1,5,12,30,24.26,266.14,2.92,95790,2.9,24.5,266.48
